"Original Title","numberOfPages","authorAbout","bookFormat","numberOfRatings","firstPublishedDate","ISBN","bookId","description","authorName","title","Edition Language","publishedBy","rating","Literary Awards","Characters"
"The Razor's Edge","314","William Somerset Maugham was born in Paris in 1874. He spoke French even before he spoke a word of English, a fact to which some critics attribute the purity of his style. <br /><br />His parents died early and, after an unhappy boyhood, which he recorded poignantly in <i>Of Human Bondage</i>, Maugham became a qualified physician. But writing was his true vocation. For ten years before his first success, he almost literally starved while pouring out novels and plays. <br /><br />Maugham wrote at a time when experimental modernist literature such as that of William Faulkner, Thomas Mann, James Joyce and Virginia Woolf was gaining increasing popularity and winning critical acclaim. In this context, his plain prose style was criticized as 'such a tissue of clichés' that one's wonder is finally aroused at the writer's ability to assemble so many and at his unfailing inability to put anything in an individual way.<br /><br />During World War I, Maugham worked for the British Secret Service . He travelled all over the world, and made many visits to America. After World War II, Maugham made his home in south of France and continued to move between England and Nice till his death in 1965.<br />","Paperback","46495","January 1, 1944","1400034205","31196","Larry Darrell is a young American in search of the absolute. The progress of this spiritual odyssey involves him with some of Maugham's most brillant characters - his fiancee Isabel, whose choice between love and wealth have lifelong repercussions, and Elliot Templeton, her uncle, a classic expatriate American snob. The most ambitious of Maugham's novels, this is also one in which Maugham himself plays a considerable part as he wanders in and out of the story, to observe his characters struggling with their fates.","W. Somerset Maugham","The Razor's Edge","English","Vintage International","4.19",,"Elliott Templeton, Larry Darrell, Louisa Bradley, Sophie Macdonald, Gray Maturin, Isabel Bradley, Dr. Bob Nelson, W. Somerset Maugham, Suzanne Rouvier"
"White Fang","252","<b>John Griffith Chaney</b> (1876-1916), better known as <b>Jack London</b>, was an American novelist, journalist, and social activist. A pioneer of commercial fiction and American magazines, he was one of the first American authors to become an international celebrity and earn a large fortune from writing. He was also an innovator in the genre that would later become known as science fiction.<br /><br />His most famous works include <i>The Call of the Wild</i> and <i>White Fang</i>, both set in the Klondike Gold Rush, as well as the short stories, ""To Build a Fire"", ""An Odyssey of the North"", and ""Love of Life"". He also wrote about the South Pacific in stories such as ""The Pearls of Parlay"", and ""The Heathen"".<br /><br />London was part of the radical literary group, ""The Crowd,"" in San Francisco and a passionate advocate of unionization, workers' rights, and socialism. He wrote several works dealing with these topics, such as his dystopian novel, <i>The Iron Heel</i>, his non-fiction exposé <i>The People of the Abyss, War of the Classes</i>, and <i>Before Adam</i>.<br /><br />London died November 22, 1916, in a sleeping porch in a cottage on his ranch. London's ashes were buried on his property, not far from the Wolf House. The grave is marked by a mossy boulder. The buildings and property were later preserved as Jack London State Historic Park, in Glen Ellen, California.","Mass Market Paperback","183928","May 1, 1906","0439236193","43035","White Fang is part dog and part wolf, and the lone survivor of his family. In his lonely world, he soon learns to follow the harsh law of the North--kill or be killed. But nothing in White Fang's life can prepare him for the cruel owner who turns him into a vicious killer. Will White Fang ever know the kindness of a gentle master?","Jack London","White Fang","English","Scholastic Paperbacks","4.01",,"White Fang"
"The Vampire Lestat","481","Anne Rice (born Howard Allen Frances O'Brien) was a best-selling American author of gothic, supernatural, historical, erotica, and later religious themed books. Best known for <a href=""http://www.goodreads.com/search?utf8=%E2%9C%93&amp;query=The+Vampire+Chronicles"" rel=""nofollow noopener"">The Vampire Chronicles</a>, her prevailing thematic focus is on love, death, immortality, existentialism, and the human condition. She was married to poet <a href=""https://www.goodreads.com/author/show/222961.Stan_Rice"" title=""Stan Rice"" rel=""nofollow noopener"">Stan Rice</a> for 41 years until his death in 2002. Her books have sold nearly 100 million copies, making her one of the most widely read authors in modern history. <br /><br />Anne Rice passed on December 11, 2021 due to complications from a stroke. She was eighty years old at the time of her death. <br /><br />She uses the pseudonym <a href=""http://www.goodreads.com/author/show/17553.Anne_Rampling"" rel=""nofollow noopener"">Anne Rampling</a> for adult-themed fiction (i.e., erotica) and <a href=""http://www.goodreads.com/author/show/437669.A_N_Roquelaure"" rel=""nofollow noopener"">A.N. Roquelaure</a> for fiction featuring sexually explicit sado-masochism.","Mass Market Paperback","195642","January 1, 1985","0345476883","43814","Lestat. The vampire hero of Anne Rice's enthralling new novel is a creature of the darkest and richest imagination. Once an aristocrat in the heady days of pre-revolutionary France, now a rock star in the demonic, shimmering 1980s, he rushes through the centuries in search of others like him, seeking answers to the mystery of his eternal, terrifying existence. His is a mesmerizing story --- passionate, complex, and thrilling.","Anne Rice","The Vampire Lestat","English","Ballantine Books","4.09","Locus Award, World Fantasy Award","Lestat de Lioncourt, Gabrielle de Lioncourt, Akasha, Marius de Romanus, Nicolas de Lenfrent, Louis de Pointe du Lac, Armand"
"All the Pretty Horses","302","Cormac McCarthy was an American novelist and playwright. He wrote twelve novels in the Southern Gothic, western, and post-apocalyptic genres and also wrote plays and screenplays. He received the Pulitzer Prize in 2007 for <i>The Road</i>, and his 2005 novel <i>No Country for Old Men</i> was adapted as a 2007 film of the same name, which won four Academy Awards, including Best Picture. His earlier <i>Blood Meridian</i> (1985) was among <i>Time Magazine's</i> poll of 100 best English-language books published between 1925 and 2005, and he placed joint runner-up for a similar title in a poll taken in 2006 by <i>The New York Times</i> of the best American fiction published in the last 25 years. Literary critic Harold Bloom named him one of the four major American novelists of his time, along with Thomas Pynchon, Don DeLillo, and Philip Roth. He is frequently compared by modern reviewers to William Faulkner. In 2009, Cormac McCarthy won the PEN/Saul Bellow Award, a lifetime achievement award given by the PEN American Center.","Paperback","116665","May 11, 1992","0679744398","469571","<i>All the Pretty Horses</i> tells of young John Grady Cole, the last of a long line of Texas ranchers. Across the border Mexico beckons—beautiful and desolate, rugged and cruelly civilized. With two companions, he sets off on an idyllic, sometimes comic adventure, to a place where dreams are paid for in blood.","Cormac McCarthy","All the Pretty Horses","English","Knopf Doubleday Publishing Group","4.03","National Book Award, National Book Critics Circle Award","John Grady Cole, Rawlins, Blevins, Alejandra"
"Angle of Repose","569","Wallace Earle Stegner was an American historian, novelist, short story writer, and environmentalist. Some call him ""The Dean of Western Writers."" He won the Pulitzer Prize in 1972 and the U.S. National Book Award in 1977.","Paperback","58337","March 1, 1971",,"292408","Confined to a wheelchair, retired historian Lyman Ward sets out to write his grandparents' remarkable story, chronicling their days spent carving civilization into the surface of America's western frontier. But his research reveals even more about his own life than he's willing to admit. What emerges is an enthralling portrait of four generations in the life of an American family.<br /><br />Wallace Stegner's Pultizer Prize-winning novel is a story of discovery—personal, historical, and geographical.","Wallace Stegner","Angle of Repose","English","Penguin","4.24","Pulitzer Prize","Lyman Ward, Susan Burling Ward, Oliver Ward, Rodman Ward, Frank Sargent, Ada Topham, Shelly Rasmussen, Ellen Ward"
"'Salem's Lot","483","Stephen Edwin King was born the second son of Donald and Nellie Ruth Pillsbury King. After his father left them when Stephen was two, he and his older brother, David, were raised by his mother. Parts of his childhood were spent in Fort Wayne, Indiana, where his father's family was at the time, and in Stratford, Connecticut. When Stephen was eleven, his mother brought her children back to Durham, Maine, for good. Her parents, Guy and Nellie Pillsbury, had become incapacitated with old age, and Ruth King was persuaded by her sisters to take over the physical care of them. Other family members provided a small house in Durham and financial support. After Stephen's grandparents passed away, Mrs. King found work in the kitchens of Pineland, a nearby residential facility for the mentally challenged.<br /><br />Stephen attended the grammar school in Durham and Lisbon Falls High School, graduating in 1966. From his sophomore year at the University of Maine at Orono, he wrote a weekly column for the school newspaper, THE MAINE CAMPUS. He was also active in student politics, serving as a member of the Student Senate. He came to support the anti-war movement on the Orono campus, arriving at his stance from a conservative view that the war in Vietnam was unconstitutional. He graduated in 1970, with a B.A. in English and qualified to teach on the high school level. A draft board examination immediately post-graduation found him 4-F on grounds of high blood pressure, limited vision, flat feet, and punctured eardrums.<br /><br />He met Tabitha Spruce in the stacks of the Fogler Library at the University, where they both worked as students; they married in January of 1971. As Stephen was unable to find placement as a teacher immediately, the Kings lived on his earnings as a laborer at an industrial laundry, and her student loan and savings, with an occasional boost from a short story sale to men's magazines.<br /><br />Stephen made his first professional short story sale (""The Glass Floor"") to <i>Startling Mystery Stories</i> in 1967. Throughout the early years of his marriage, he continued to sell stories to men's magazines. Many were gathered into the <a href=""https://www.goodreads.com/book/show/10628.Night_Shift"" title=""Night Shift"" rel=""nofollow noopener"">Night Shift</a> collection or appeared in other anthologies.<br /><br />In the fall of 1971, Stephen began teaching English at Hampden Academy, the public high school in Hampden, Maine. Writing in the evenings and on the weekends, he continued to produce short stories and to work on novels.","Paperback","430046","October 17, 1975","0450031063","11590","<i>Librarian's Note: Alternate-cover edition for ISBN <a href=""https://www.goodreads.com/book/show/9668519-salem-s-lot"">0450031063</a></i><br /><br />Thousands of miles away from the small township of 'Salem's Lot, two terrified people, a man and a boy, still share the secrets of those clapboard houses and tree-lined streets. They must return to 'Salem's Lot for a final confrontation with the unspeakable evil that lives on in the town.","Stephen King","'Salem's Lot","English","New English Library","4.05","World Fantasy Award","Benjamin Mears, Susan Norton, Matt Burke, Mark Petrie, Father Donald Callahan, Mike Ryerson, Dr James Cody, Richard Throckett Straker, Danny Glick, Larry Crockett, Sonny James, Charles Boone, Loretta Starcher, Weasel Craig, Larry McLeod, Joe Crane, June Petrie, Hal Griffen, Dud Rogers, Cynthia Stowens, Buddy Bascomb, Nolly Gardener, Tookey, Miss Coogan, Royal Snow, Harriet Durham"
"The Tale of Peter Rabbit ","72","Helen Beatrix Potter was an English author, illustrator, mycologist, and conservationist who is best known for her children's books, which featured animal characters such as Peter Rabbit.<br /><br />Born into a wealthy household, Potter was educated by governesses and grew up isolated from other children. She had numerous pets, and through holidays in Scotland and the Lake District, developed a love of landscape, flora, and fauna, all of which she closely observed and painted. Because she was a woman, her parents discouraged intellectual development, but her study and paintings of fungi led her to be widely respected in the field of mycology.<br /><br />In her thirties, Potter published the highly successful children's book <i>The Tale of Peter Rabbit</i> and became secretly engaged to her publisher, Norman Warne, causing a breach with her parents, who disapproved of his social status. Warne died before the wedding.<br /><br />Potter eventually published 24 children's books, the most recent being <i>The Tale of Kitty-in-Boots</i> (2016), and having become financially independent of her parents, was able to buy a farm in the Lake District, which she extended with other purchases over time. <br /><br />In her forties, she married a local solicitor, William Heelis. She became a sheep breeder and farmer while continuing to write and illustrate children's books. Potter died in 1943 and left almost all of her property to The National Trust in order to preserve the beauty of the Lake District as she had known it, protecting it from developers.<br /><br />Potter's books continue to sell well throughout the world, in multiple languages. Her stories have been retold in various formats, including a ballet, films, and in animation.","Hardcover","240523","December 16, 1901","0723247706","19321","<b>""<i>Now, my dears,""</i> said old Mrs Rabbit one morning, ""you may go into the fields or down the lane, but don't go into Mr. McGregor's garden.""</b><br /><br />Follow the story of naughty Peter Rabbit as he squeezes—predictably—under the gate into Mr. McGregor's garden and finds himself in all kinds of trouble! But how does Peter Rabbit get himself out of this tricky situation? Beatrix Potter's story about one mischievous but ultimately endearing little creature will tell us, accompanied by beautiful illustrations and timeless verses which have transcended generations.<br /><br /><i>'The Tale of Peter Rabbit',</i> first published in 1902, is still today one of <a href=""https://www.goodreads.com/author/show/11593.Beatrix_Potter_s"" title=""Beatrix Potter's"">Beatrix Potter's</a> most popular and well-loved tales. It is the first of the illustrious series that is <i><a href=""https://www.goodreads.com/series/82133-the-world-of-beatrix-potter-peter-rabbit"">The World of Beatrix Potter'</a>,</i> and a story which has endured retelling after retelling at bedtimes all over the world.<br /> <br /><b>
  <a href=""https://www.goodreads.com/author/show/11593.Beatrix_Potter"" title=""Beatrix Potter"">Beatrix Potter</a>
</b> (1866–1943) loved the countryside and spent much of her childhood drawing and studying animals. <i><a href=""https://www.goodreads.com/book/show/19321._The_Tale_of_Peter_Rabbit_"" title=""'The Tale of Peter Rabbit'"">'The Tale of Peter Rabbit'</a>,</i> first published in 1902, was her first book. She later went on to publish more than twenty tales and collections of rhymes.<br /><br /><i>Age Rating: 3–12+ / Preschool - 2+ / Lexile Measure AD660L</i>","Beatrix Potter","The Tale of Peter Rabbit","English","Warne","4.21","Lewis Carroll Shelf Award","Peter Rabbit, Flopsy Rabbit, Mopsy Rabbit, Cotton-tail Rabbit, Mrs. Rabbit, Mr. McGregor"
"The Scarlet Pimpernel","182","Full name: Emma (""Emmuska"") Magdolna Rozália Mária Jozefa Borbála Orczy de Orczi was a Hungarian-British novelist, best remembered as the author of THE SCARLET PIMPERNEL (1905). Baroness Orczy's sequels to the novel were less successful. She was also an artist, and her works were exhibited at the Royal Academy, London. Her first venture into fiction was with crime stories. Among her most popular characters was The Old Man in the Corner, who was featured in a series of twelve British movies from 1924, starring Rolf Leslie.<br /><br />Baroness Emmuska Orczy was born in Tarnaörs, Hungary, as the only daughter of Baron Felix Orczy, a noted composer and conductor, and his wife Emma. Her father was a friend of such composers as Wagner, Liszt, and Gounod. Orczy moved with her parents from Budapest to Brussels and then to London, learning to speak English at the age of fifteen. She was educated in convent schools in Brussels and Paris. In London she studied at the West London School of Art. Orczy married in 1894 Montague Barstow, whom she had met while studying at the Heatherby School of Art. Together they started to produce book and magazine illustrations and published an edition of Hungarian folktales.<br /><br />Orczy's first detective stories appeared in magazines. As a writer she became famous in 1903 with the stage version of the Scarlet Pimpernel.","Paperback","133318","January 1, 1905","1576469239","136116","Armed with only his wits and his cunning, one man recklessly defies the French revolutionaries and rescues scores of innocent men, women, and children from the deadly guillotine. His friends and foes know him only as the Scarlet Pimpernel. But the ruthless French agent Chauvelin is sworn to discover his identity and to hunt him down.","Emmuska Orczy","The Scarlet Pimpernel","English","Quiet Vision Pub","4.07",,"Armand Chauvelin, Marguerite Blakeney, George IV of Great Britain and Ireland, Percy Blakeney, Armand St. Just, Suzanne de Tournay, Sir Andrew Ffoulkes"
"Sämtliche Erzählungen","486","Prague-born writer <b>Franz Kafka</b> wrote in German, and his stories, such as ""<i>
  <a href=""https://www.goodreads.com/book/show/485894.The_Metamorphosis"" title=""The Metamorphosis"" rel=""nofollow noopener"">The Metamorphosis</a>
</i>"" (1916), and posthumously published novels, including <i>
  <a href=""https://www.goodreads.com/book/show/17690.The_Trial"" title=""The Trial"" rel=""nofollow noopener"">The Trial</a>
</i> (1925), concern troubled individuals in a nightmarishly impersonal world.<br /><br />Jewish middle-class family of this major fiction writer of the 20th century spoke German. People consider his unique body of much incomplete writing, mainly published posthumously, among the most influential in European literature. <br /><br />His stories include ""The Metamorphosis"" (1912) and ""<i>
  <a href=""https://www.goodreads.com/book/show/581552.In_the_Penal_Colony"" title=""In the Penal Colony"" rel=""nofollow noopener"">In the Penal Colony</a>
</i>"" (1914), whereas his posthumous novels include <i>The Trial</i> (1925), <i>
  <a href=""https://www.goodreads.com/book/show/333538.The_Castle"" title=""The Castle"" rel=""nofollow noopener"">The Castle</a>
</i> (1926) and <i>
  <a href=""https://www.goodreads.com/book/show/22911.Amerika"" title=""Amerika"" rel=""nofollow noopener"">Amerika</a>
</i> (1927).<br /><br />Despite first language, Kafka also spoke fluent Czech. Later, Kafka acquired some knowledge of the French language and culture from <a href=""https://www.goodreads.com/author/show/1461.Flaubert"" title=""Flaubert"" rel=""nofollow noopener"">Flaubert</a>, one of his favorite authors. <br /><br />Kafka first studied chemistry at the Charles-Ferdinand University of Prague but after two weeks switched to law. This study offered a range of career possibilities, which pleased his father, and required a longer course of study that gave Kafka time to take classes in German studies and art history. At the university, he joined a student club, named Lese- und Redehalle der Deutschen Studenten, which organized literary events, readings, and other activities. In the end of his first year of studies, he met <a href=""https://www.goodreads.com/author/show/13004.Max_Brod"" title=""Max Brod"" rel=""nofollow noopener"">Max Brod</a>, a close friend of his throughout his life, together with the journalist <a href=""https://www.goodreads.com/author/show/1946467.Felix_Weltsch"" title=""Felix Weltsch"" rel=""nofollow noopener"">Felix Weltsch</a>, who also studied law. Kafka obtained the degree of doctor of law on 18 June 1906 and performed an obligatory year of unpaid service as law clerk for the civil and criminal courts. <br /><br />Writing of Kafka attracted little attention before his death. During his lifetime, he published only a few short stories and never finished any of his novels except the very short ""<i>The Metamorphosis</i>."" Kafka wrote to Max Brod, his friend and literary executor: ""Dearest Max, my last request: Everything I leave behind me ... in the way of diaries, manuscripts, letters (my own and others'), sketches, and so on, [is] to be burned unread."" Brod told Kafka that he intended not to honor these wishes, but Kafka, so knowing, nevertheless consequently gave these directions specifically to Brod, who, so reasoning, overrode these wishes. Brod in fact oversaw the publication of most of work of Kafka in his possession; these works quickly began to attract attention and high critical regard. <br /><br />Max Brod encountered significant difficulty in compiling notebooks of Kafka into any chronological order as Kafka started writing in the middle of notebooks, from the last towards the first, et cetera.<br /><br />Kafka wrote all his published works in German except several letters in Czech to Milena Jesenská. ","Paperback","26013","January 1, 1946",,"22904","The Complete Stories brings together all of Kafka’s stories, from the classic tales such as “The Metamorphosis,” “In the Penal Colony,” and “A Hunger Artist” to shorter pieces and fragments that Max Brod, Kafka’s literary executor, released after Kafka’s death. With the exception of his three novels, the whole of Kafka’s narrative work is included in this volume. <br />--penguinrandomhouse.com<br /><br />Two Introductory parables: Before the law --<br />Imperial message --<br />Longer stories: Description of a struggle --<br />Wedding preparations in the country --<br />Judgment --<br />Metamorphosis --<br />In the penal colony --<br />Village schoolmaster (The giant mole) --<br />Blumfeld, and elderly bachelor --<br />Warden of the tomb --<br />Country doctor --<br />Hunter Gracchus --<br />Hunter Gracchus: A fragment --<br />Great Wall of China --<br />News of the building of the wall: A fragment --<br />Report to an academy --<br />Report to an academy: Two fragments --<br />Refusal --<br />Hunger artist --<br />Investigations of a dog --<br />Little woman --<br />The burrow --<br />Josephine the singer, or the mouse folk --<br />Children on a country road --<br />The trees --<br />Clothes --<br />Excursion into the mountains --<br />Rejection --<br />The street window --<br />The tradesman --<br />Absent-minded window-gazing --<br />The way home --<br />Passers-by --<br />On the tram --<br />Reflections for gentlemen-jockeys --<br />The wish to be a red Indian --<br />Unhappiness --<br />Bachelor's ill luck --<br />Unmasking a confidence trickster --<br />The sudden walk --<br />Resolutions --<br />A dream --<br />Up in the gallery --<br />A fratricide --<br />The next village --<br />A visit to a mine --<br />Jackals and Arabs --<br />The bridge --<br />The bucket rider --<br />The new advocate --<br />An old manuscript --<br />The knock at the manor gate --<br />Eleven sons --<br />My neighbor --<br />A crossbreed (A sport) --<br />The cares of a family man --<br />A common confusion --<br />The truth about Sancho Panza --<br />The silence of the sirens --<br />Prometheus --<br />The city coat of arms --<br />Poseidon --<br />Fellowship --<br />At night --<br />The problem of our laws --<br />The conscripton of troops --<br />The test --<br />The vulture --<br />The helmsman --<br />The top --<br />A little fable --<br />Home-coming --<br />First sorrow --<br />The departure --<br />Advocates --<br />The married couple --<br />Give it up! --<br />On parables.","Franz Kafka","The Complete Stories","English","Schocken","4.34",,
"Hiroshima","152","<b>John Richard Hersey</b>, a Pulitzer Prize-winning American writer, earliest practiced the ""new journalism,"" which fuses storytelling devices of the novel with nonfiction reportage. A 36-member panel under the aegis of journalism department of New York University adjudged account of Hersey of the aftermath of the atomic bomb, dropped on Hiroshima, Japan, as the finest piece of journalism of the 20th century.","Paperback","77260","January 1, 1946","0679721037","27323","On August 6, 1945, Hiroshima was destroyed by the first atom bomb ever dropped on a city. This book, John Hersey's journalistic masterpiece, tells what happened on that day. Told through the memories of survivors, this timeless, powerful and compassionate document has become a classic ""that stirs the conscience of humanity"" (The New York Times).","John Hersey","Hiroshima","English","Vintage","4.02",,
"Wild Swans: Three Daughters of China","562","Jung Chang (simplified Chinese: 张戎; traditional Chinese: 張戎; pinyin: Zhāng Róng; Wade-Giles: Chang Jung, born March 25, 1952 in Yibin, Sichuan) is a Chinese-born British writer now living in London, best known for her family autobiography Wild Swans, selling over 10 million copies worldwide but banned in mainland China.<br /><br />See also <a href=""https://www.goodreads.com:443/search/search?q=ユン チアン"" title=""ユン チアン"" rel=""noopener"">ユン チアン</a>, <a href=""https://www.goodreads.com/author/show/15722259.__"" title=""張戎"" rel=""nofollow noopener"">張戎</a>.","Paperback","109953","January 1, 1991",,"1848","The story of three generations in twentieth-century China that blends the intimacy of memoir and the panoramic sweep of eyewitness history—a bestselling classic in thirty languages with more than ten million copies sold around the world, now with a new introduction from the author.<br /><br />An engrossing record of Mao’s impact on China, an unusual window on the female experience in the modern world, and an inspiring tale of courage and love, Jung Chang describes the extraordinary lives and experiences of her family members: her grandmother, a warlord’s concubine; her mother’s struggles as a young idealistic Communist; and her parents’ experience as members of the Communist elite and their ordeal during the Cultural Revolution. Chang was a Red Guard briefly at the age of fourteen, then worked as a peasant, a “barefoot doctor,” a steelworker, and an electrician. As the story of each generation unfolds, Chang captures in gripping, moving—and ultimately uplifting—detail the cycles of violent drama visited on her own family and millions of others caught in the whirlwind of history.","Jung Chang","Wild Swans: Three Daughters of China","English","Simon & Schuster","4.27","NCR Book Award, British Book Award",
"The Satanic Verses","561","<i>
  <a href=""https://www.goodreads.com/book/show/12781.The_Satanic_Verses"" title=""The Satanic Verses"" rel=""nofollow noopener"">The Satanic Verses</a>
</i> (1988), novel of Indian-born British writer <b>Salman Rushdie</b> led <a href=""https://www.goodreads.com/author/show/17303799.Ruholla_Khomeini"" title=""Ruholla Khomeini"" rel=""nofollow noopener"">Ruholla Khomeini</a>, the ayatollah of Iran, to demand his execution and then forced him into hiding; his other works include <i>
  <a href=""https://www.goodreads.com/book/show/14836.Midnight_s_Children"" title=""Midnight's Children"" rel=""nofollow noopener"">Midnight's Children</a>
</i> (1981), which won the Booker prize, and <i>
  <a href=""https://www.goodreads.com/book/show/9865.The_Moor_s_Last_Sigh"" title=""The Moor's Last Sigh"" rel=""nofollow noopener"">The Moor's Last Sigh</a>
</i> (1995).<br /><br />Sir Ahmed Salman Rushdie, a novelist and essayist, set much of his early fiction at least partly on the Indian subcontinent. His style is often classified as magical realism, while a dominant theme of his work is the story of the many connections, disruptions and migrations between the Eastern and Western world.<br /><br />His fourth novel led to some violent protests from Muslims in several countries. Faced with death threats and a fatwa (religious edict) issued by Ayatollah Ruhollah Khomeini, then Supreme Leader of Iran, which called for him to be killed, he spent nearly a decade largely underground, appearing in public only sporadically. In June 2007, he was appointed a Knight Bachelor for ""services to literature"", which ""thrilled and humbled"" him. In 2007, he began a five-year term as Distinguished Writer in Residence at Emory University.<br />","Paperback","63869","September 26, 1988","0312270828","12781","Just before dawn one winter's morning, a hijacked jetliner explodes above the English Channel. Through the falling debris, two figures, Gibreel Farishta, the biggest star in India, and Saladin Chamcha, an expatriate returning from his first visit to Bombay in fifteen years, plummet from the sky, washing up on the snow-covered sands of an English beach, and proceed through a series of metamorphoses, dreams, and revelations. <br /><br /><i>From the back cover.</i>","Salman Rushdie","The Satanic Verses","English","Picador","3.71","Booker Prize, Whitbread Award","Gibreel Farishta, Saladin Chamcha"
"The God of Small Things","321","Arundhati Roy is an Indian writer who is also an activist who focuses on issues related to social justice and economic inequality. She won the Booker Prize in 1997 for her novel, The God of Small Things, and has also written two screenplays and several collections of essays.<br /><br />For her work as an activist she received the Cultural Freedom Prize awarded by the Lannan Foundation in 2002.<br /><br />","Paperback","288919","April 1, 1997","0679457313","9777","The year is 1969. In the state of Kerala, on the southernmost tip of India, a skyblue Plymouth with chrome tailfins is stranded on the highway amid a Marxist workers' demonstration. Inside the car sit two-egg twins Rahel and Esthappen, and so begins their tale. . . .<br /><br />Armed only with the invincible innocence of children, they fashion a childhood for themselves in the shade of the wreck that is their family—their lonely, lovely mother, Ammu (who loves by night the man her children love by day), their blind grandmother, Mammachi (who plays Handel on her violin), their beloved uncle Chacko (Rhodes scholar, pickle baron, radical Marxist, bottom-pincher), their enemy, Baby Kochamma (ex-nun and incumbent grandaunt), and the ghost of an imperial entomologist's moth (with unusually dense dorsal tufts).<br /><br />When their English cousin, Sophie Mol, and her mother, Margaret Kochamma, arrive on a Christmas visit, Esthappen and Rahel learn that Things Can Change in a Day. That lives can twist into new, ugly shapes, even cease forever, beside their river ""graygreen."" With fish in it. With the sky and trees in it. And at night, the broken yellow moon in it.<br /><br />The brilliantly plotted story uncoils with an agonizing sense of foreboding and inevitability. Yet nothing prepares you for what lies at the heart of it.<br /><br /><i>The God of Small Things</i> takes on the Big Themes—Love. Madness. Hope. Infinite Joy. Here is a writer who dares to break the rules. To dislocate received rhythms and create the language she requires, a language that is at once classical and unprecedented. Arundhati Roy has given us a book that is anchored to anguish, but fueled by wit and magic.","Arundhati Roy","The God of Small Things","English","Random House","3.95","Booker Prize, Dublin Literary Award","Rahel, Ammu, Mammachi, Chacko, Estha, Velutha, Baby Kochamma"
