Original Title;authorAbout;numberOfRatings;url;firstPublishedDate;ISBN;description;authorName;Edition Language;rating;Literary Awards;Characters;bookId;title
The Women's Room;"She attended Hofstra University (then Hofstra College) where she also received a master's degree in English in 1964. She married Robert M. French Jr. in 1950; the couple divorced in 1967. She later attended Harvard University, earning a Ph.D in 1972. Years later she became an instructor at Hofstra University.In her work, French asserted that women's oppression is an intrinsic part of the male-dominated global culture.  Beyond Power: On Women, Men and Morals (1985) is a historical examination of the effects of patriarchy on the world.French's 1977 novel,  The Women's Room, follows the lives of Mira and her friends in 1950s and 1960s America, including Val, a militant radical feminist. The novel portrays the details of the lives of women at this time and also the feminist movement of this era in the United States. At one point in the book the character Val says ""all men are rapists"". This quote has often been incorrectly attributed to Marilyn French herself. French's first book was a thesis on James Joyce.French was diagnosed with esophageal cancer in 1992. This experience was the basis for her book  A Season in Hell: A Memoir (1998).She was also mentioned in the 1982 ABBA song, ""The Day Before You Came"". The lyrics that mentioned French were: ""I must have read a while, the latest one by Marilyn French or something in that style"".French died from heart failure at age 79 on May 2, 2009 in Manhattan, New York City. She is survived by her son Robert and daughter Jamie.";8705;https://www.goodreads.com/book/show/46456.The_Women_s_Room;1977-05-01;1860492827;The bestselling feminist novel that awakened both women and men, The Women's Room follows the transformation of Mira Ward and her circle as the women's movement begins to have an impact on their lives. A biting social commentary on an emotional world gone silently haywire, The Women's Room is a modern classic that offers piercing insight into the social norms accepted so blindly and revered so completely. Marilyn French questions those accepted norms and poignantly portrays the hopeful believers looking for new truths.;Marilyn French;English;3.98;[];[];46456;The Women's Room
Generation X: Tales for an Accelerated Culture;Douglas Coupland is Canadian, born on a Canadian Air Force base near Baden-Baden, Germany, on December 30, 1961. In 1965 his family moved to Vancouver, Canada, where he continues to live and work. Coupland has studied art and design in Vancouver, Canada, Milan, Italy and Sapporo, Japan. His first novel, Generation X, was published in March of 1991. Since then he has published nine novels and several non-fiction books in 35 languages and most countries on earth. He has written and performed for the Royal Shakespeare Company in Stratford, England, and in 2001 resumed his practice as a visual artist, with exhibitions in spaces in North America, Europe and Asia. 2006 marks the premiere of the feature film Everything's Gone Green, his first story written specifically for the screen and not adapted from any previous work. A TV series (13 one-hour episodes) based on his novel, jPod premieres on the CBC in January, 2008. --------------------------------------Retrieved 07:55, May 15, 2008, from http://www.coupland.com/coupland_bio....;28461;https://www.goodreads.com/book/show/3378.Generation_X;1991-01-01;0349108390;"Andy, Dag and Claire have been handed a society priced beyond their means. Twentysomethings, brought up with divorce, Watergate and Three Mile Island, and scarred by the 80s fall-out of yuppies, recession, crack and Ronald Reagan, they represent the new generation - Generation X.Fiercely suspicious of being lumped together as an advertiser's target market, they have quit dreary careers and cut themselves adrift in the California desert. Unsure of their futures, they immerse themselves in a regime of heavy drinking and working at no-future McJobs in the service industry.Underemployed, overeducated, intensely private and unpredictable, they have nowhere to direct their anger, no one to assuage their fears, and no culture to replace their anomie. So they tell stories; disturbingly funny tales that reveal their barricaded inner world. A world populated with dead TV shows, 'Elvis moments' and semi-disposable Swedish furniture...";Douglas Coupland;English;3.74;[];[];3378;Generation X: Tales for an Accelerated Culture
Amerika;"Prague-born writer Franz Kafka wrote in German, and his stories, such as ""
  The Metamorphosis
"" (1916), and posthumously published novels, including 
  The Trial
 (1925), concern troubled individuals in a nightmarishly impersonal world.Jewish middle-class family of this major fiction writer of the 20th century spoke German. People consider his unique body of much incomplete writing, mainly published posthumously, among the most influential in European literature. His stories include ""The Metamorphosis"" (1912) and ""
  In the Penal Colony
"" (1914), whereas his posthumous novels include The Trial (1925), 
  The Castle
 (1926) and 
  Amerika
 (1927).Despite first language, Kafka also spoke fluent Czech. Later, Kafka acquired some knowledge of the French language and culture from Flaubert, one of his favorite authors. Kafka first studied chemistry at the Charles-Ferdinand University of Prague but after two weeks switched to law. This study offered a range of career possibilities, which pleased his father, and required a longer course of study that gave Kafka time to take classes in German studies and art history. At the university, he joined a student club, named Lese- und Redehalle der Deutschen Studenten, which organized literary events, readings, and other activities. In the end of his first year of studies, he met Max Brod, a close friend of his throughout his life, together with the journalist Felix Weltsch, who also studied law. Kafka obtained the degree of doctor of law on 18 June 1906 and performed an obligatory year of unpaid service as law clerk for the civil and criminal courts. Writing of Kafka attracted little attention before his death. During his lifetime, he published only a few short stories and never finished any of his novels except the very short ""The Metamorphosis."" Kafka wrote to Max Brod, his friend and literary executor: ""Dearest Max, my last request: Everything I leave behind me ... in the way of diaries, manuscripts, letters (my own and others'), sketches, and so on, [is] to be burned unread."" Brod told Kafka that he intended not to honor these wishes, but Kafka, so knowing, nevertheless consequently gave these directions specifically to Brod, who, so reasoning, overrode these wishes. Brod in fact oversaw the publication of most of work of Kafka in his possession; these works quickly began to attract attention and high critical regard. Max Brod encountered significant difficulty in compiling notebooks of Kafka into any chronological order as Kafka started writing in the middle of notebooks, from the last towards the first, et cetera.Kafka wrote all his published works in German except several letters in Czech to Milena Jesenská. ";28405;https://www.goodreads.com/book/show/22911.Amerika;1927-01-01;0805210644;"Kafka's first and funniest novel, Amerika tells the story of the young immigrant Karl Rossmann who, after an embarrassing sexual misadventure, finds himself ""packed off to America"" by his parents. Expected to redeem himself in this magical land of opportunity, young Karl is swept up instead in a whirlwind of dizzying reversals, strange escapades, and picaresque adventures.Although Kafka never visited America, images of its vast landscape, dangers, and opportunities inspired this saga of the ""golden land."" Here is a startlingly modern, fantastic and visionary tale of America ""as a place no one has yet seen, in a historical period that can't be identified,"" writes E. L. Doctorow in his new foreword. ""Kafka made his novel from his own mind's mythic elements,"" Doctorow explains, ""and the research data that caught his eye were bent like rays in a field of gravity.""";Franz Kafka;English;3.74;[];Karl Rossmann, Robinson, Delamarche, Brunelda;22911;Amerika
We Have Always Lived in the Castle;"Shirley Jackson was an influential American author. A popular writer in her time, her work has received increasing attention from literary critics in recent years. She has influenced such writers as Stephen King, Nigel Kneale, and Richard Matheson.She is best known for her dystopian short story, ""The Lottery"" (1948), which suggests there is a deeply unsettling underside to bucolic, smalltown America. In her critical biography of Shirley Jackson, Lenemaja Friedman notes that when Shirley Jackson's story ""The Lottery"" was published in the June 28, 1948, issue of The New Yorker, it received a response that ""no New Yorker story had ever received."" Hundreds of letters poured in that were characterized by, as Jackson put it, ""bewilderment, speculation and old-fashioned abuse.""Jackson's husband, the literary critic Stanley Edgar Hyman, wrote in his preface to a posthumous anthology of her work that ""she consistently refused to be interviewed, to explain or promote her work in any fashion, or to take public stands and be the pundit of the Sunday supplements. She believed that her books would speak for her clearly enough over the years."" Hyman insisted the darker aspects of Jackson's works were not, as some critics claimed, the product of ""personal, even neurotic, fantasies"", but that Jackson intended, as ""a sensitive and faithful anatomy of our times, fitting symbols for our distressing world of the concentration camp and the Bomb"", to mirror humanity's Cold War-era fears. Jackson may even have taken pleasure in the subversive impact of her work, as revealed by Hyman's statement that she ""was always proud that the Union of South Africa banned The Lottery', and she felt that they at least understood the story"".In 1965, Jackson died of heart failure in her sleep, at her home in North Bennington Vermont, at the age of 48.";200922;https://www.goodreads.com/book/show/89724.We_Have_Always_Lived_in_the_Castle;1962-09-21;0143039970;Shirley Jackson’s beloved gothic tale of a peculiar girl named Merricat and her family’s dark secretTaking readers deep into a labyrinth of dark neurosis, We Have Always Lived in the Castle is a deliciously unsettling novel about a perverse, isolated, and possibly murderous family and the struggle that ensues when a cousin arrives at their estate. This edition features a new introduction by Jonathan Lethem.;Shirley Jackson;English;3.95;Tähtifantasia Award;Mary Katherine Blackwood, Constance Blackwood, Julian Blackwood, Charles Blackwood, Helen Clarke, Jim Donell;89724;We Have Always Lived in the Castle
Crossing to Safety;"Wallace Earle Stegner was an American historian, novelist, short story writer, and environmentalist. Some call him ""The Dean of Western Writers."" He won the Pulitzer Prize in 1972 and the U.S. National Book Award in 1977.";45126;https://www.goodreads.com/book/show/9820.Crossing_to_Safety;1987-01-01;037575931X;Crossing to Safety has, since its publication in 1987, established itself as one of the greatest and most cherished American novels of the twentieth century. Tracing the lives, loves, and aspirations of two couples who move between Vermont and Wisconsin, it is a work of quiet majesty, deep compassion, and powerful insight into the alchemy of friendship and marriage.;Wallace Stegner;English;4.16;National Book Critics Circle Award, Premi Llibreter de narrativa;Sally Morgan, Larry Morgan, Sid Lang, Charity Lang;9820;Crossing to Safety
Plainsong;Kent Haruf was born in eastern Colorado. He received his Bachelors of Arts in literature from Nebraska Wesleyan University in 1965 and his Masters of Fine Arts from the Iowa Writers' Workshop at the University of Iowa in 1973. For two years, he taught English in Turkey with the Peace Corps and his other jobs have included a chicken farm in Colorado, a construction site in Wyoming, a rehabilitation hospital in Colorado, a hospital in Arizona, a library in Iowa, an alternative high school in Wisconsin, and universities in Nebraska and Illinois.Haruf is the author of Plainsong, which received the Mountains and Plains Booksellers Award, the Los Angeles Times Book Prize, the Maria Thomas Award in Fiction, and The New Yorker Book Award. Plainsong was also a finalist for the 1999 National Book Award. His novel, The Tie That Binds, received a Whiting Foundation Award and a special citation from the Pen/Hemingway Foundation. In 2006, Haruf was awarded the Dos Passos Prize for Literature.All of his novels are set in the fictional town of Holt, Colorado. Holt is loosely based on Yuma, Colorado, an early residence of Haruf in the 1980s.Haruf lived with his wife, Cathy, in Salida, Colorado, with their three daughters. He died of cancer on November 30, 2014.;72154;https://www.goodreads.com/book/show/77156.Plainsong;1999-10-04;0375705856;A heartstrong story of family and romance, tribulation and tenacity, set on the High Plains east of Denver.In the small town of Holt, Colorado, a high school teacher is confronted with raising his two boys alone after their mother retreats first to the bedroom, then altogether. A teenage girl—her father long since disappeared, her mother unwilling to have her in the house—is pregnant, alone herself, with nowhere to go. And out in the country, two brothers, elderly bachelors, work the family homestead, the only world they've ever known.From these unsettled lives emerges a vision of life, and of the town and landscape that bind them together—their fates somehow overcoming the powerful circumstances of place and station, their confusion, curiosity, dignity and humor intact and resonant. As the milieu widens to embrace fully four generations, Kent Haruf displays an emotional and aesthetic authority to rival the past masters of a classic American tradition.Utterly true to the rhythms and patterns of life, Plainsong is a novel to care about, believe in, and learn from.;Kent Haruf;English;4.03;Book Sense Book of the Year Award, Los Angeles Times Book Prize, ALA Alex Award, National Book Award Finalist, Society of Midland Authors Award, Dublin Literary Award;[];77156;Plainsong
Empire of the Sun;"James Graham ""J. G."" Ballard (15 November 1930 – 19 April 2009) was an English novelist, short story writer, and essayist. Ballard came to be associated with the New Wave of science fiction early in his career with apocalyptic (or post-apocalyptic) novels such as The Drowned World (1962), The Burning World (1964), and The Crystal World (1966). In the late 1960s and early 1970s Ballard focused on an eclectic variety of short stories (or ""condensed novels"") such as The Atrocity Exhibition (1970), which drew closer comparison with the work of postmodernist writers such as William S. Burroughs. In 1973 the highly controversial novel Crash was published, a story about symphorophilia and car crash fetishism; the protagonist becomes sexually aroused by staging and participating in real car crashes. The story was later adapted into a film of the same name by Canadian director David Cronenberg.While many of Ballard's stories are thematically and narratively unusual, he is perhaps best known for his relatively conventional war novel, Empire of the Sun (1984), a semi-autobiographical account of a young boy's experiences in Shanghai during the Second Sino-Japanese War as it came to be occupied by the Japanese Imperial Army. Described as ""The best British novel about the Second World War"" by The Guardian, the story was adapted into a 1987 film by Steven Spielberg.The literary distinctiveness of Ballard's work has given rise to the adjective ""Ballardian"", defined by the Collins English Dictionary as ""resembling or suggestive of the conditions described in J. G. Ballard's novels and stories, especially dystopian modernity, bleak man-made landscapes and the psychological effects of technological, social or environmental developments."" The Oxford Dictionary of National Biography entry describes Ballard's work as being occupied with ""eros, thanatos, mass media and emergent technologies"".";20013;https://www.goodreads.com/book/show/56674.Empire_of_the_Sun;1984-09-13;;The classic, award-winning novel, made famous by Steven Spielberg's film, tells of a young boy's struggle to survive World War II in China.Jim is separated from his parents in a world at war. To survive, he must find a deep strength greater than all the events that surround him.Shanghai, 1941 — a city aflame from the fateful torch of Pearl Harbor. In streets full of chaos and corpses, a young British boy searches in vain for his parents. Imprisoned in a Japanese concentration camp, he is witness to the fierce white flash of Nagasaki, as the bomb bellows the end of the war...and the dawn of a blighted world.Ballard's enduring novel of war and deprivation, internment camps and death marches, and starvation and survival is an honest coming-of-age tale set in a world thrown utterly out of joint.;J.G. Ballard;English;3.98;Booker Prize, Guardian Fiction Award, James Tait Black Memorial Prize, Los Angeles Times Book Prize;Jamie Graham, Dr. Ransome, Mary Graham, John Graham;56674;Empire of the Sun
Centennial;"James Albert Michener is best known for his sweeping multi-generation historical fiction sagas, usually focusing on and titled after a particular geographical region. His first novel, 
  Tales of the South Pacific
, which inspired the Rodgers and Hammerstein musical South Pacific, won the 1948 Pulitzer Prize for Fiction.Toward the end of his life, he created the Journey Prize, awarded annually for the year's best short story published by an emerging Canadian writer; founded an MFA program now, named the Michener Center for Writers, at the University of Texas at Austin; and made substantial contributions to the James A. Michener Art Museum in Doylestown, Pennsylvania, best known for its permanent collection of Pennsylvania Impressionist paintings and a room containing Michener's own typewriter, books, and various memorabilia.Michener's entry in Who's Who in America says he was born on Feb. 3, 1907. But he said in his 1992 memoirs that the circumstances of his birth remained cloudy and he did not know just when he was born or who his parents were.";42497;https://www.goodreads.com/book/show/133430.Centennial;1974-01-01;;"Written to commemorate the Bicentennial in 1976, James A. Michener’s magnificent saga of the West is an enthralling celebration of the frontier. Brimming with the glory of America’s past, the story of Colorado—the Centennial State—is manifested through its people: Lame Beaver, the Arapaho chieftain and warrior, and his Comanche and Pawnee enemies; Levi Zendt, fleeing with his child bride from the Amish country; the cowboy, Jim Lloyd, who falls in love with a wealthy and cultured Englishwoman, Charlotte Seccombe. In Centennial, trappers, traders, homesteaders, gold seekers, ranchers, and hunters are brought together in the dramatic conflicts that shape the destiny of the legendary West—and the entire country.";James A. Michener;English;4.25;[];[];133430;Centennial
Chocolat;"Joanne Harris is also known as Joanne M. HarrisJoanne Harris is an Anglo-French author, whose books include fourteen novels, two cookbooks and many short stories. Her work is extremely diverse, covering aspects of magic realism, suspense, historical fiction, mythology and fantasy. She has also written a DR WHO novella for the BBC, has scripted guest episodes for the game ZOMBIES, RUN!, and is currently engaged in a number of musical theatre projects as well as developing an original drama for television.In 2000, her 1999 novel CHOCOLAT was adapted to the screen, starring Juliette Binoche and Johnny Depp. She is an honorary Fellow of St Catharine's College, Cambridge, and in 2022 was awarded an OBE by the Queen.Her hobbies are listed in Who's Who as 'mooching, lounging, strutting, strumming, priest-baiting and quiet subversion'. She also spends too much time on Twitter; plays flute and bass guitar in a band first formed when she was 16; and works from a shed in her garden at her home in Yorkshire.";123771;https://www.goodreads.com/book/show/47401.Chocolat;1999-03-04;014100018X;A timeless novel of a straitlaced village's awakening to joy and sensuality - every page offers a description of chocolate to melt in the mouths of chocoholics, francophiles, armchair gourmets, cookbook readers, and lovers of passion everywhere.Illuminating Peter Mayle's South of France with a touch of Laura Esquivel's magic realism, Chocolat is a timeless novel of a straitlaced village's awakening to joy and sensuality. In tiny Lansquenet, where nothing much has changed in a hundred years, beautiful newcomer Vianne Rocher and her exquisite chocolate shop arrive and instantly begin to play havoc with Lenten vows. Each box of luscious bonbons comes with a free gift: Vianne's uncanny perception of its buyer's private discontents and a clever, caring cure for them. Is she a witch? Soon the parish no longer cares, as it abandons itself to temptation, happiness, and a dramatic face-off between Easter solemnity and the pagan gaiety of a chocolate festival. Chocolat's every page offers a description of chocolate to melt in the mouths of chocoholics, francophiles, armchair gourmets, cookbook readers, and lovers of passion everywhere. It's a must for anyone who craves an escapist read, and is a bewitching gift for any holiday.;Joanne Harris;English;3.96;Whitbread Award, Creative Freedom Award, Whittaker Gold Award;Caro Clairmont, Josephine Bonnet, Anouk Rocher, Vianne Rocher, Roux, Francis Reynaud, Armande Voizin, Paul-Marie Muscat, Luc Clairmont, Guillaume Duplessis;47401;Chocolat
砂の女 [Suna no Onna];"Kōbō Abe (安部 公房 Abe Kōbō), pseudonym of Kimifusa Abe, was a Japanese writer, playwright, photographer, and inventor. He was the son of a doctor and studied medicine at Tokyo University. He never practised however, giving it up to join a literary group that aimed to apply surrealist techniques to Marxist ideology.Abe has been often compared to Franz Kafka and Alberto Moravia for his surreal, often nightmarish explorations of individuals in contemporary society and his modernist sensibilities.He was first published as a poet in 1947 with Mumei shishu (""Poems of an unknown poet"") and as a novelist the following year with Owarishi michi no shirube ni (""The Road Sign at the End of the Street""), which established his reputation. Though he did much work as an avant-garde novelist and playwright, it was not until the publication of The Woman in the Dunes in 1962 that he won widespread international acclaim.In the 1960s, he collaborated with Japanese director Hiroshi Teshigahara in the film adaptations of The Pitfall, Woman in the Dunes, The Face of Another and The Ruined Map. In 1973, he founded an acting studio in Tokyo, where he trained performers and directed plays. He was elected a Foreign Honorary Member of the American Academy of Arts and Sciences in 1977.";31069;https://www.goodreads.com/book/show/9998.The_Woman_in_the_Dunes;1962-01-01;0679733787;The Woman in the Dunes, by celebrated writer and thinker Kobo Abe, combines the essence of myth, suspense and the existential novel. After missing the last bus home following a day trip to the seashore, an amateur entomologist is offered lodging for the night at the bottom of a vast sand pit. But when he attempts to leave the next morning, he quickly discovers that the locals have other plans. Held captive with seemingly no chance of escape, he is tasked with shoveling back the ever-advancing sand dunes that threaten to destroy the village. His only companion is an odd young woman, and together their fates become intertwined as they work side by side through this Sisyphean of tasks.;Kōbō Abe;English;3.9;Prix du Meilleur Livre Étranger, Yomiuri Prize 読売文学賞;Niki Jumpei;9998;The Woman in the Dunes
Miss Lonelyhearts / The Day of the Locust;Born Nathanael von Wallenstein Weinstein to prosperous Jewish parents, from the first West set about creating his own legend, and anglicising his name was part of that process. At Brown University in Rhode Island, he befriended writer and humourist S. J. Perelman (who later married his sister), and started writing and drawing cartoons. As his cousin Nathan Wallenstein also attended Brown, West took to borrowing his work and presenting it as his own. He almost didn't graduate at all, on account of failing a crucial course in modern drama. West indulged in a little dramatics of his own and, in tearful contrition, convinced a gullible professor to upgrade his marks.After spending a couple of years in Paris, where he wrote his first novel, The Dream Life of Balso Snell, he returned to New York, where he managed (badly by all accounts) a small hotel, the Sutton, owned by his family. As well as providing free board for struggling friends like Dashiell Hammett, the job also gave West ample opportunity to observe the strange collection of misfits and drifters who congregated in the hotel's drugstore. Some of these would appear in West's novel Miss Lonelyhearts.West spent the rest of his days in Hollywood, writing B-movie screenplays for small studios and immersing himself in the unglamorous underworld of Tinseltown, with its dope dealers, extras, gangsters, whores and has-beens. All would end up in West's final masterpiece, The Day of the Locust.West's life ultimately ended as tragically as his fictions. Recently married, and with better-paid script work coming in, West was happy and successful. Then, returning from a trip to Mexico with his wife Eileen, he crashed his car after ignoring a stop sign and killed them both. This was just one day after the death of his friend F. Scott Fitzgerald.;10015;https://www.goodreads.com/book/show/294459.Miss_Lonelyhearts_The_Day_of_the_Locust;1939-05-16;0811202151;"Miss LonelyheartsMiss Lonelyhearts was a newspaper reporter, so named because he had been assigned to write the agony column, to answer the letters from Desperate, Sick-of-It-All, Disillusioned. A joke at first; but then he was caught up, terrifyingly, in a vision of suffering, and he sought a way out, turning first here, then there—Art, Sex, Religion. Shrike, the cynical editor, the friend and enemy, compulsively destroyed each of his friend’s gestures toward idealism. Together, in the city’s dim underworld, Shrike and Miss Lonelyhearts turn round and round in a loathsome dance, unresolvable, hating until death…The Day of the LocustTo Hollywood comes Tod Hackett, hoping for a career in scene designing, but he finds the way hard and falls in with others—extras, technicians, old vaudeville hands—who are also in difficulty. Around him he sees the great mass of inland Americans who have retired to California in expectation of health and ease. But boredom consumes them, their own emptiness maddens them; they search out any abnormality in their lust for excitement—drugs, perversion, crime. In the end only blood will serve; unreasoned, undirected violence. The day of the locust is at hand…";Nathanael West;English;3.9;[];[];294459;Miss Lonelyhearts / The Day of the Locust
A Sand County Almanac;"
  A Sand County Almanac
, published posthumously in 1949, of American writer and naturalist Aldo Leopold celebrates the beauty of the world and advocates the conscious protection of wild places. His effect on resource management and policy lasted in the early to mid-twentieth century, and since his death, his influence continued to expand. Through his observation, experience, and reflection at his river farm in Wisconsin, he honed the concepts of land health and a land ethic that since his death ever influenced in the years. Despite more than five hundred articles and three books during the course of his geographically widespread career, time at his shack and farm in Wisconsin inspired most of the disarmingly simple essays that so many persons found so thought-provoking. Life story of Aldo Leopold, the development of his career as a conservationist, scientist, and philosopher, and his open-mindedness, his vision, and the evolution of his thinking throughout his life inspire other persons to start or to further their own intellectual journey of discovery. A closer engagement with his story, his inspiration, and his family helps persons better to understand the contours of environmental history and the role in culture and to reflect on their own in the complex weave of the way in which our society relates to land. His vision of a society that cares about the connections between people and land provides a starting point for thinking about modern-day cultures, economies, ecosystems, and communities. Starker Leopold, Luna Leopold, Nina Leopold, Carl Leopold, and Estella Leopold—children of Aldo—founded the Aldo Leopold foundation in 1982. People respected all members of the Leopold family as scientists and conservationists in their own right. They recognized the shack and farm as a focal point for legacy of their father for generations to come and for this primary reason established the foundation. This public charity owns and manages the Leopold center, including the Leopold shack and 264 surrounding acres in addition to several other parcels and also manages much of the adjoining 1,800-acre Leopold memorial reserve, which neighboring landowners established as an early trust in 1967. It acts as the executor of literary estate of Leopold, encourages scholarship on Leopold, and serves as a clearinghouse for information regarding Leopold, his work, and his ideas. It provides interpretive resources and tours for five thousand visitors annually, cooperates with partners on education and other programming off site, and maintains a robust website and numerous print resources. The Aldo Leopold foundation manages this Goodreads page. ";30854;https://www.goodreads.com/book/show/210404.A_Sand_County_Almanac_and_Sketches_Here_and_There;1949-01-01;0195007778;"First published in 1949, A Sand County Almanac combines some of the finest nature writing since Thoreau with an outspoken and highly ethical regard for America's relationship to the land.Written with an unparalleled understanding of the ways of nature, the book includes a section on the monthly changes of the Wisconsin countryside; another part that gathers informal pieces written by Leopold over a forty-year period as he traveled through the woodlands of Wisconsin, Iowa, Arizona, Sonora, Oregon, Manitoba, and elsewhere; and a final section in which Leopold addresses the philosophical issues involved in wildlife conservation. As the forerunner of such important books as Annie Dillard's Pilgrim at Tinker Creek, Edward Abbey's Desert Solitaire, and Robert Finch's The Primal Place, this classic work remains as relevant today as it was sixty-five years ago.";Aldo Leopold;English;4.3;John Burroughs Medal, National Outdoor Book Award;[];210404;A Sand County Almanac and Sketches Here and There
Der Untergang des Abendlandes. Umrisse einer Morphologie der Weltgeschichte;"Oswald Spengler was born in 1880 in Blankenburg (then in the Duchy of Brunswick, German Empire) at the foot of the Harz mountains, the eldest of four children, and the only boy. His family was conservative German of the petite bourgeoisie. His father, originally a mining technician, who came from a long line of mineworkers, was a post office bureaucrat. His childhood home was emotionally reserved, and the young Spengler turned to books and the great cultural personalities for succor. He had imperfect health, and suffered throughout his life from migraine headaches and from an anxiety complex.At the age of ten, his family moved to the university city of Halle. Here Spengler received a classical education at the local Gymnasium (academically oriented secondary school), studying Greek, Latin, mathematics and natural sciences. Here, too, he developed his affinity for the arts—especially poetry, drama, and music—and came under the influence of the ideas of Goethe and Nietzsche. He even experimented with a few artistic creations, some of which still survive.After his father's death in 1901 Spengler attended several universities (Munich, Berlin, and Halle) as a private scholar, taking courses in a wide range of subjects: history, philosophy, mathematics, natural science, literature, the classics, music, and fine arts. His private studies were undirected. In 1903, he failed his doctoral thesis on Heraclitus because of insufficient references, which effectively ended his chances of an academic career. In 1904 he received his Ph.D., and in 1905 suffered a nervous breakdown.Scholars[which?] remark that his life seemed rather uneventful. He briefly served as a teacher in Saarbrücken and then in Düsseldorf. From 1908 to 1911 he worked at a grammar school (Realgymnasium) in Hamburg, where he taught science, German history, and mathematics.In 1911, following his mother's death, he moved to Munich, where he would live until his death in 1936. He lived as a cloistered scholar, supported by his modest inheritance. Spengler survived on very limited means and was marked by loneliness. He owned no books, and took jobs as a tutor or wrote for magazines to earn additional income.He began work on the first volume of Decline of the West intending at first to focus on Germany within Europe, but the Agadir Crisis affected him deeply, and he widened the scope of his study. Spengler was inspired by Otto Seeck's work The Decline of Antiquity in naming his own effort. The book was completed in 1914, but publishing was delayed by World War I. Due to a congenital heart problem, he was not called up for military service. During the war, however, his inheritance was largely useless because it was invested overseas; thus Spengler lived in genuine poverty for this period.";1890;https://www.goodreads.com/book/show/801754.The_Decline_of_the_West;1918-01-01;0195066340;"Since its first publication in two volumes between 1918-1923, The Decline of the West has ranked as one of the most widely read and most talked about books of our time. In all its various editions, it has sold nearly 100,000 copies. A twentieth-century Cassandra, Oswald Spengler thoroughly probed the origin and ""fate"" of our civilization, and the result can be (and has been) read as a prophesy of the Nazi regime. His challenging views have led to harsh criticism over the years, but the knowledge and eloquence that went into his sweeping study of Western culture have kept The Decline of the West alive. As the face of Germany and Europe as a whole continues to change each day, The Decline of the West cannot be ignored. The abridgment, prepared by the German scholar Helmut Werner, with the blessing of the Spengler estate, consists of selections from the original (translated into English by Charles Francis Atkinson) linked by explanatory passages which have been put into English by Arthur Helps. H. Stuart Hughes has written a new introduction for this edition. In this engrossing and highly controversial philosophy of history, Spengler describes how we have entered into a centuries-long ""world-historical"" phase comparable to late antiquity. Guided by the philosophies of Goethe and Nietzsche, he rejects linear progression, and instead presents a world view based on the cyclical rise and decline of civilizations. He argues that a culture blossoms from the soil of a definable landscape and dies when it has exhausted all of its possibilities. Despite Spengler's reputation today as an extreme pessimist, The Decline of the West remains essential reading for anyone interested in the history of civilization.";Oswald Spengler;English;4.06;[];[];801754;The Decline of the West
Dolores Claiborne;"Stephen Edwin King was born the second son of Donald and Nellie Ruth Pillsbury King. After his father left them when Stephen was two, he and his older brother, David, were raised by his mother. Parts of his childhood were spent in Fort Wayne, Indiana, where his father's family was at the time, and in Stratford, Connecticut. When Stephen was eleven, his mother brought her children back to Durham, Maine, for good. Her parents, Guy and Nellie Pillsbury, had become incapacitated with old age, and Ruth King was persuaded by her sisters to take over the physical care of them. Other family members provided a small house in Durham and financial support. After Stephen's grandparents passed away, Mrs. King found work in the kitchens of Pineland, a nearby residential facility for the mentally challenged.Stephen attended the grammar school in Durham and Lisbon Falls High School, graduating in 1966. From his sophomore year at the University of Maine at Orono, he wrote a weekly column for the school newspaper, THE MAINE CAMPUS. He was also active in student politics, serving as a member of the Student Senate. He came to support the anti-war movement on the Orono campus, arriving at his stance from a conservative view that the war in Vietnam was unconstitutional. He graduated in 1970, with a B.A. in English and qualified to teach on the high school level. A draft board examination immediately post-graduation found him 4-F on grounds of high blood pressure, limited vision, flat feet, and punctured eardrums.He met Tabitha Spruce in the stacks of the Fogler Library at the University, where they both worked as students; they married in January of 1971. As Stephen was unable to find placement as a teacher immediately, the Kings lived on his earnings as a laborer at an industrial laundry, and her student loan and savings, with an occasional boost from a short story sale to men's magazines.Stephen made his first professional short story sale (""The Glass Floor"") to Startling Mystery Stories in 1967. Throughout the early years of his marriage, he continued to sell stories to men's magazines. Many were gathered into the Night Shift collection or appeared in other anthologies.In the fall of 1971, Stephen began teaching English at Hampden Academy, the public high school in Hampden, Maine. Writing in the evenings and on the weekends, he continued to produce short stories and to work on novels.";147789;https://www.goodreads.com/book/show/10625.Dolores_Claiborne;1992-11-01;2266047426;À Little Tall, on ne sais toujours pas exactement ce qui s'est passé il y a trente ans, et si l'accident qui, le jour de l'éclipse, a coûté la vie au mari de Dolores Claiborne était vraiment un accident...Aujourd'hui, la vieille dame indigne est à nouveau soupçonnée : la riche et sénile Vera Donovan, dont elle est la gouvernante depuis des décennies, vient d'être découverte morte dans sa demeure.Seul témoin et seule héritière, Dolores fait figure de coupable idéale. Elle n'a désormais plus le choix : elle doit passer aux aveux. Raconter les étranges phobies qui habitaient sa maîtresse, se souvenir de l'horreur qu'elle a vécu il y a trente ans. Dire toute la vérité : une vérité terrifiante.;Stephen King;French;3.91;[];[];10625;Dolores Claiborne
