authorName;authorAbout;authorID
Richard  Adams;Adams was born in Newbury, Berkshire. From 1933 until 1938 he was educated at Bradfield College. In 1938 he went up to Worcester College, Oxford to read Modern History. On 3 September 1939 Neville Chamberlain announced that the United Kingdom was at war with Germany. In 1940 Adams joined the British Army, in which he served until 1946. He received a class B discharge enabling him to return to Worcester to continue his studies for a further two years (1946-48). He took the degree of Bachelor of Arts in 1948 and of Master of Arts in 1953.He was a senior civil servant who worked as an Assistant Secretary for the Department of Agriculture, later part of the Department of the Environment, from 1948 to 1974. Since 1974, following publication of his second novel, Shardik, he has been a full-time author.He originally began telling the story of Watership Down to his two daughters, Juliet and Rosamund, and they insisted he publish it as a book. It took two years to write and was rejected by thirteen publishers. When Watership Down was finally published, it sold over a million copies in record time in both the United Kingdom and the United States. Watership Down has become a modern classic and won both the Carnegie Medal and the Guardian Children's Fiction Prize in 1972. To date, Adams' best-known work has sold over 50 million copies world-wide, earning him more than all his other books put together.As of 1982, he was President of the RSPCA.He also contested the 1983 general election, standing as an Independent Conservative in the Spelthorne constituency on a platform of opposition to fox hunting.;219
Dee Brown;Dorris Alexander “Dee” Brown (1908–2002) was a celebrated author of both fiction and nonfiction, whose classic study Bury My Heart at Wounded Knee is widely credited with exposing the systematic destruction of American Indian tribes to a world audience. Brown was born in Louisiana and grew up in Arkansas. He worked as a reporter and a printer before enrolling at Arkansas State Teachers College, where he met his future wife, Sally Stroud. He later earned two degrees in library science, and worked as a librarian while beginning his career as a writer. He went on to research and write more than thirty books, often centered on frontier history or overlooked moments of the Civil War. Brown continued writing until his death in 2002. ;220
Yevgeny Zamyatin;"Yevgeny Zamyatin (Russian: Евгений Замятин, sometimes also seen spelled Eugene Zamiatin) Russian novelist, playwright, short story writer, and essayist, whose famous anti-utopia (1924, We) prefigured Aldous Huxley's Brave New World (1932), and inspired George Orwell's 1984 (1949). The book was considered a ""malicious slander on socialism"" in the Soviet Union, and it was not until 1988 when Zamyatin was rehabilitated. In the English-speaking world We has appeared in several translations.""And then, just the way it was this morning in the hangar, I saw again, as though right then for the first time in my life, I saw everything: the unalterably straight streets, the sparkling glass of the sidewalks, the divine parallelepipeds of the transparent dwellings, the squared harmony of our gray-blue ranks. And so I felt that I - not generations of people, but I myself - I had conquered the old God and the old life, I myself had created all this, and I'm like a tower, I'm afraid to move my elbow for fear of shattering the walls, the cupolas, the machines..."" (from We, trans. by Clarence Brown)Yevgeny Ivanovich Zamyatin was born in the provincial town of Lebedian, some two hundred miles south of Moscow. His father was an Orthodox priest and schoolmaster, and his mother a musician. He attended Progymnasium in Lebedian and gymnasium in Voronezh. From 1902 to 1908 he studied naval engineering at St. Petersburg Polytechnic Institute. While still a student, he joined the Bolshevik Party. In 1905 he made a study trip in the Near East. Due to his revolutionary activities Zamyatin was arrested in 1905 and exiled. His first short story, 'Odin' (1908), was drew on his experiences in prison.Zamyatin applied to Stalin for permission to emigrate in 1931 and lived in Paris until his death.";221
Robertson Davies;"William Robertson Davies, CC, FRSC, FRSL (died in Orangeville, Ontario) was a Canadian novelist, playwright, critic, journalist, and professor. He was one of Canada's best-known and most popular authors, and one of its most distinguished ""men of letters"", a term Davies is sometimes said to have detested. Davies was the founding Master of Massey College, a graduate college at the University of Toronto.
  Novels:
The Salterton Trilogy• Tempest-tost (1951)• Leaven of Malice (1954)• A Mixture of Frailties (1958)The Deptford Trilogy• Fifth Business (1970)• The Manticore (1972)• World of Wonders (1975)The Cornish Trilogy• The Rebel Angels (1981)• What's Bred in the Bone (1985)• The Lyre of Orpheus (1988)The Toronto Trilogy (Davies' final, incomplete, trilogy)• Murther and Walking Spirits (1991)• The Cunning Man (1994)http://en.wikipedia.org/wiki/Robertso...";222
Paulo Freire;"The Brazilian educator Paulo Freire is among most the influential educational thinkers of the late 20th century. Born in Recife, Brazil, on September 19, 1921, Freire died of heart failure in Sao Paulo, Brazil on May 2, 1997. After a brief career as a lawyer, he taught Portuguese in secondary schools from 1941-1947. He subsequently became active in adult education and workers' training, and became the first Director of the Department of Cultural Extension of the University of Recife (1961-1964).Freire quickly gained international recognition for his experiences in literacy training in Northeastern Brazil. Following the military coup d'etat of 1964, he was jailed by the new government and eventually forced into a political exile that lasted fifteen-years.In 1969 he was a visiting scholar at Harvard University and then moved to Geneva, Switzerland where he assumed the role of special educational adviser to the World Congress of Churches. He returned to Brazil in 1979.Freire's most well known work is Pedagogy of the Oppressed (1970). Throughout this and subsequent books, he argues for system of education that emphasizes learning as an act of culture and freedom. He is most well known for concepts such as ""Banking"" Education, in which passive learners have pre-selected knowledge deposited in their minds; ""Conscientization"", a process by which the learner advances towards critical consciousness; the ""Culture of Silence"", in which dominated individuals lose the means by which to critically respond to the culture that is forced on them by a dominant culture. Other important concepts developed by Freire include: ""Dialectic"", ""Empowerment"", ""Generative Themes/Words"", ""Humanization"", ""Liberatory Education"", ""Mystification"", ""Praxis"", "" Problematization"", and ""Transformation of the World"".http://www.education.miami.edu/ep/con...";223
Tony Kushner;Tony Kushner is an award-winning American playwright most famous for his play Angels in America, for which he was awarded the Pulitzer Prize. He is also co-author, along with Eric Roth, of the screenplay of the 2005 film Munich, which was directed by Steven Spielberg and earned Kushner (along with Roth) an Academy Award nomination for Best Adapted Screenplay.;226
Richard Bach;"
  
 
  
 
  
 
  
 Since Jonathan Livingston Seagull - which dominated the #1 spot on the New York Times Bestseller List for two consecutive years - Richard Bach has touched millions of people through his humor, wisdom and insight.With over 60 million copies of his books sold, Richard Bach remains one of the world's most beloved authors. A former USAF fighter pilot, Air Force captain and latter-day barnstorming pilot, Bach continues to be an avid aviator-author, exploring and chronicling the joys and freedom of flying, reporting his findings to readers.His most recent works include Travels with Puff, which recounts Bach's journey from Florida to Washington state in his small seaplane, Puff, and Illusions II: The Adventures of a Reluctant Student, which incorporates Bach's real-life plane crash.In October 2014, the never-before-published Part Four to Jonathan Livingston Seagull was published.Readers can find more about Richard and his work at www.richardbach.com ";227
Aleksandr Solzhenitsyn;"also known asAlexander Solzenitsyn (English, alternate)Αλεξάντρ Σολζενίτσιν (Greek)Works, including 
  One Day in the Life of Ivan Denisovich
 (1962) and 
  The Gulag Archipelago
 (1973-1975), of Soviet writer and dissident Aleksandr Isayevich Solzhenitsyn, awarded the Nobel Prize for literature in 1970, exposed the brutality of the labor camp system. This known Russian novelist, dramatist, and historian best helped to make the world aware of the forced Gulag. Exiled in 1974, he returned to Russia in 1994. Solzhenitsyn fathered of Ignat Solzhenitsyn, a conductor and pianist. https://en.wikipedia.org/wiki/Aleksan...";228
Michael Ende;"Michael Andreas Helmuth Ende was a German writer of fantasy and children's literature. He was the son of the surrealist painter Edgar Ende.Ende was one of the most popular and famous German authors of the 20th century, mostly due to the enormous success of his children's books. However, Ende was not strictly a children’s author, as he also wrote books for adults. Ende claimed, ""It is for this child in me, and in all of us, that I tell my stories,"" and that ""[my books are] for any child between 80 and 8 years"" (qtd. Senick 95, 97). Ende’s writing could be described as a surreal mixture of reality and fantasy. The reader is often invited to take a more interactive role in the story, and the worlds in his books often mirror our reality, using fantasy to bring light to the problems of an increasingly technological modern society.Ende was also known as a proponent of economic reform, and claimed to have had the concept of aging money in mind when writing Momo. He was interested in and influenced by anthroposophy.Die unendliche Geschichte (The Neverending Story) is Ende's best known work. Other books include Momo and Jim Knopf und Lukas der Lokomotivführer (Jim Button and Luke the Engine Driver). Michael Ende's works have been translated into more than 40 languages and sold more than 20 million copies, and have been adapted into motion pictures, stage plays, operas and audio books.He died in Stuttgart of stomach cancer.AKA:Μίχαελ Έντε (Greek)";230
Susanna Kaysen;Susanna Kaysen is an American author.Kaysen was born and raised in Cambridge, Massachusetts. Kaysen attended high school at the Commonwealth School in Boston and the Cambridge School before being sent to McLean Hospital in 1967 to undergo psychiatric treatment for depression. It was there she was diagnosed with borderline personality disorder. She was released after eighteen months. She later drew on this experience for her 1993 memoir Girl, Interrupted, which was made into a film in 1999, her role being played by Winona Ryder.She is the daughter of the economist Carl Kaysen, a professor at MIT and former advisor to President John F. Kennedy. Her mother, deceased, was sister of architect Richard Neutra. Kaysen also has one sister and has been divorced at least once. She lived for a time in the Faroe Islands, upon which experience her novel Far Afield is based.;231
Terry Pratchett;Born Terence David John Pratchett, Sir Terry Pratchett sold his first story when he was thirteen, which earned him enough money to buy a second-hand typewriter. His first novel, a humorous fantasy entitled The Carpet People, appeared in 1971 from the publisher Colin Smythe. Terry worked for many years as a journalist and press officer, writing in his spare time and publishing a number of novels, including his first Discworld novel, The Color of Magic, in 1983. In 1987, he turned to writing full time. There are over 40 books in the Discworld series, of which four are written for children. The first of these, The Amazing Maurice and His Educated Rodents, won the Carnegie Medal. A non-Discworld book, Good Omens, his 1990 collaboration with Neil Gaiman, has been a longtime bestseller and was reissued in hardcover by William Morrow in early 2006 (it is also available as a mass market paperback - Harper Torch, 2006 - and trade paperback - Harper Paperbacks, 2006). In 2008, Harper Children's published Terry's standalone non-Discworld YA novel, Nation. Terry published Snuff in October 2011. Regarded as one of the most significant contemporary English-language satirists, Pratchett has won numerous literary awards, was named an Officer of the British Empire (OBE) “for services to literature” in 1998, and has received honorary doctorates from the University of Warwick in 1999, the University of Portsmouth in 2001, the University of Bath in 2003, the University of Bristol in 2004, Buckinghamshire New University in 2008, the University of Dublin in 2008, Bradford University in 2009, the University of Winchester in 2009, and The Open University in 2013 for his contribution to Public Service.In Dec. of 2007, Pratchett disclosed that he had been diagnosed with Alzheimer's disease. On 18 Feb, 2009, he was knighted by Queen Elizabeth II.He was awarded the World Fantasy Life Achievement Award in 2010.Sir Terry Pratchett passed away on 12th March 2015.;233
Richard Brautigan;Richard Brautigan was an American novelist, poet, and short-story writer. Born in Tacoma, Washington, he moved to San Francisco in the 1950s and began publishing poetry in 1957. He started writing novels in 1961 and is probably best known for his early work Trout Fishing in America. He died of a self-inflicted gunshot wound in 1984.;234
Oliver Sacks;"Oliver Wolf Sacks, CBE, was a British neurologist residing in the United States, who has written popular books about his patients, the most famous of which is Awakenings, which was adapted into a film of the same name starring Robin Williams and Robert De Niro.Sacks was the youngest of four children born to a prosperous North London Jewish couple: Sam, a physician, and Elsie, a surgeon. When he was six years old, he and his brother were evacuated from London to escape The Blitz, retreating to a boarding school in the Midlands, where he remained until 1943. During his youth, he was a keen amateur chemist, as recalled in his memoir Uncle Tungsten. He also learned to share his parents' enthusiasm for medicine and entered The Queen's College, Oxford University in 1951, from which he received a Bachelor of Arts (BA) in physiology and biology in 1954. At the same institution, he went on to earn in 1958, a Master of Arts (MA) and an MB ChB in chemistry, thereby qualifying to practice medicine.After converting his British qualifications to American recognition (i.e., an MD as opposed to MB ChB), Sacks moved to New York, where he has lived since 1965, and taken twice weekly therapy sessions since 1966.Sacks began consulting at chronic care facility Beth Abraham Hospital (now Beth Abraham Health Service) in 1966. At Beth Abraham, Sacks worked with a group of survivors of the 1920s sleeping sickness, encephalitis lethargica, who had been unable to move on their own for decades. These patients and his treatment of them were the basis of Sacks' book Awakenings.His work at Beth Abraham helped provide the foundation on which the Institute for Music and Neurologic Function (IMNF), where Sacks is currently an honorary medical advisor, is built. In 2000, IMNF honored Sacks, its founder, with its first Music Has Power Award. The IMNF again bestowed a Music Has Power Award on Sacks in 2006 to commemorate ""his 40 years at Beth Abraham and honor his outstanding contributions in support of music therapy and the effect of music on the human brain and mind"".Sacks was formerly employed as a clinical professor of neurology at the Albert Einstein College of Medicine and at the New York University School of Medicine, serving the latter school for 42 years. On 1 July 2007, Columbia University College of Physicians and Surgeons appointed Sacks to a position as professor of clinical neurology and clinical psychiatry, at the same time opening to him a new position as ""artist"", which the university hoped will help interconnect disciplines such as medicine, law, and economics. Sacks was a consultant neurologist to the Little Sisters of the Poor, and maintained a practice in New York City.Since 1996, Sacks was a member of The American Academy of Arts and Letters (Literature). In 1999, Sacks became a Fellow of the New York Academy of Sciences. Also in 1999, he became an Honorary Fellow at The Queen's College, Oxford. In 2002, he became Fellow of the American Academy of Arts and Sciences (Class IV—Humanities and Arts, Section 4—Literature).[38] and he was awarded the 2001 Lewis Thomas Prize by Rockefeller University. Sacks was awarded honorary doctorates from the College of Staten Island (1991), Tufts University (1991), New York Medical College (1991), Georgetown University (1992), Medical College of Pennsylvania (1992), Bard College (1992), Queen's University (Ontario) (2001), Gallaudet University (2005), University of Oxford (2005), Pontificia Universidad Católica del Perú (2006). He was appointed Commander of the Order of the British Empire (CBE) in the 2008 Birthday Honours. Asteroid 84928 Oliversacks, discovered in 2003 and 2 miles (3.2 km) in diameter, has been named in his honor.";235
Roberto Bolaño;"For most of his early adulthood, Bolaño was a vagabond, living at one time or another in Chile, Mexico, El Salvador, France and Spain. Bolaño moved to Europe in 1977, and finally made his way to Spain, where he married and settled on the Mediterranean coast near Barcelona, working as a dishwasher, a campground custodian, bellhop and garbage collector — working during the day and writing at night. He continued with his poetry, before shifting to fiction in his early forties. In an interview Bolaño stated that he made this decision because he felt responsible for the future financial well-being of his family, which he knew he could never secure from the earnings of a poet. This was confirmed by Jorge Herralde, who explained that Bolaño ""abandoned his parsimonious beatnik existence"" because the birth of his son in 1990 made him ""decide that he was responsible for his family's future and that it would be easier to earn a living by writing fiction."" However, he continued to think of himself primarily as a poet, and a collection of his verse, spanning 20 years, was published in 2000 under the title The Romantic Dogs.Regarding his native country Chile, which he visited just once after going into voluntary exile, Bolaño had conflicted feelings. He was notorious in Chile for his fierce attacks on Isabel Allende and other members of the literary establishment. In 2003, after a long period of declining health, Bolaño passed away. Bolaño was survived by his Spanish wife and their two children, whom he once called ""my only motherland.""Although deep down he always felt like a poet, his reputation ultimately rests on his novels, novellas and short story collections. Although Bolaño espoused the lifestyle of a bohemian poet and literary enfant terrible for all his adult life, he only began to produce substantial works of fiction in the 1990s. He almost immediately became a highly regarded figure in Spanish and Latin American letters.In rapid succession, he published a series of critically acclaimed works, the most important of which are the novel Los detectives salvajes (The Savage Detectives), the novella Nocturno de Chile (By Night In Chile), and, posthumously, the novel 2666. His two collections of short stories Llamadas telefónicas and Putas asesinas were awarded literary prizes. In 2009 a number of unpublished novels were discovered among the author's papers.";236
Anne McCaffrey;Anne McCaffrey was born on April 1st, 1926, in Cambridge, Massachusetts.Her parents were George Herbert McCaffrey, BA, MA PhD (Harvard), Colonel USA Army (retired), and Anne Dorothy McElroy McCaffrey, estate agent. She had two brothers: Hugh McCaffrey (deceased 1988), Major US Army, and Kevin Richard McCaffrey, still living.Anne was educated at Stuart Hall in Staunton Virginia, Montclair High School in Montclair, New Jersey, and graduated cum laude from Radcliffe College, majoring in Slavonic Languages and Literatures.Her working career included Liberty Music Shops and Helena Rubinstein (1947-1952). She married in 1950 and had three children: Alec Anthony, b. 1952, Todd, b.1956, and Georgeanne, b.1959.Anne McCaffrey’s first story was published by Sam Moskowitz in Science Fiction + Magazine and her first novel was published by Ballantine Books in 1967. By the time the three children of her marriage were comfortably in school most of the day, she had already achieved enough success with short stories to devote full time to writing. Her first novel, Restoree, was written as a protest against the absurd and unrealistic portrayals of women in s-f novels in the 50s and early 60s. It is, however, in the handling of broader themes and the worlds of her imagination, particularly the two series The Ship Who Sang and the fourteen novels about the Dragonriders of Pern that Ms. McCaffrey’s talents as a story-teller are best displayed.She died at the age of 85, after suffering a massive stroke on 21 November 2011.Obituaries: Locus, GalleyCat.;237
Carl Sagan;"In 1934, scientist Carl Sagan was born in Brooklyn, N.Y. After earning bachelor and master's degrees at Cornell, Sagan earned a double doctorate at the University of Chicago in 1960. He became professor of astronomy and space science and director of the Laboratory for Planetary Studies at Cornell University, and co-founder of the Planetary Society. A great popularizer of science, Sagan produced the PBS series, ""Cosmos,"" which was Emmy and Peabody award-winning, and was watched by 500 million people in 60 countries. A book of the same title came out in 1980, and was on The New York Times bestseller list for 7 weeks. Sagan was author, co-author or editor of 20 books, including The Dragons of Eden (1977), which won a Pulitzer, Pale Blue Dot (1995) and The Demon-Haunted World: Science As a Candle in the Dark (1996), his hardest-hitting on religion. With his wife, Ann Druyan, he was co-producer of the popular motion picture, ""Contact,"" which featured a feminist, atheist protagonist played by Jodie Foster (1997). The film came out after Sagan's death, following a 2-year struggle with a bone marrow disease. Sagan played a leading role in NASA's Mariner, Viking, Voyager, and Galileo expeditions to other planets. Ann Druyan, in the epilogue to Sagan's last book, Billions and Billions: Thoughts on Life and Death at the Brink of the Millennium (published posthumously in 1997), gives a moving account of Carl's last days: ""Contrary to the fantasies of the fundamentalists, there was no deathbed conversion, no last minute refuge taken in a comforting vision of a heaven or an afterlife. For Carl, what mattered most was what was true, not merely what would make us feel better. Even at this moment when anyone would be forgiven for turning away from the reality of our situation, Carl was unflinching. As we looked deeply into each other's eyes, it was with a shared conviction that our wondrous life together was ending forever.""For his work, Dr. Sagan received the NASA medals for Exceptional Scientific Achievement and (twice) for Distinguished Public Service, as well as the NASA Apollo Achievement Award. Asteroid 2709 Sagan is named after him. He was also awarded the John F. Kennedy Astronautics Award of the American Astronautical Society, the Explorers Club 75th Anniversary Award, the Konstantin Tsiolkovsky Medal of the Soviet Cosmonauts Federation, and the Masursky Award of the American Astronomical Society, (""for his extraordinary contributions to the development of planetary science…As a scientist trained in both astronomy and biology, Dr. Sagan has made seminal contributions to the study of planetary atmospheres, planetary surfaces, the history of the Earth, and exobiology. Many of the most productive planetary scientists working today are his present and former students and associates"").He was also a recipient of the Public Welfare Medal, the highest award of the National Academy of Sciences.Dr. Sagan was elected Chairman of the Division of Planetary Sciences of the American Astronomical Society, President of the Planetology Section of the American Geophysical Union, and Chairman of the Astronomy Section of the American Association for the Advancement of Science. For twelve years he was the editor-in-chief of Icarus, the leading professional journal devoted to planetary research. He was cofounder and President of the Planetary Society, a 100,000-member organization that is the largest space-interest group in the world; and Distinguished Visiting Scientist, Jet Propulsion Laboratory, California Institute of Technology.In their posthumous award to Dr. Sagan of their highest honor, the National Science Foundation declared that his ""research transformed planetary science… his gifts to mankind were infinite."" D. 1996.More: https://ffrf.org/news/day/dayitems/it...";238
Thomas S. Kuhn;American historian and philosopher of science, a leading contributor to the change of focus in the philosophy and sociology of science in the 1960s. Thomas Samuel Kuhn was born in Cincinnati, Ohio. He received a doctorate in theoretical physics from Harvard University in 1949. But he later shifted his interest to the history and philosophy of science, which he taught at Harvard, the University of California at Berkeley, Princeton University, and Massachusetts Institute of Technology (MIT).In 1962, Kuhn published The Structure of Scientific Revolutions, which depicted the development of the basic natural sciences in an innovative way. According to Kuhn, the sciences do not uniformly progress strictly by scientific method. Rather, there are two fundamentally different phases of scientific development in the sciences. In the first phase, scientists work within a paradigm (set of accepted beliefs). When the foundation of the paradigm weakens and new theories and scientific methods begin to replace it, the next phase of scientific discovery takes place. Kuhn believes that scientific progress—that is, progress from one paradigm to another—has no logical reasoning. Kuhn's theory has triggered widespread, controversial discussion across many scientific disciplines.;239
Richard Dawkins;;240
Octavia E. Butler;"Octavia Estelle Butler was an American science fiction writer, one of the best-known among the few African-American women in the field. She won both Hugo and Nebula awards. In 1995, she became the first science fiction writer to receive the MacArthur Foundation ""Genius"" Grant.After her father died, Butler was raised by her widowed mother. Extremely shy as a child, Octavia found an outlet at the library reading fantasy, and in writing. She began writing science fiction as a teenager. She attended community college during the Black Power movement, and while participating in a local writer's workshop was encouraged to attend the Clarion Workshop, which focused on science fiction.She soon sold her first stories and by the late 1970s had become sufficiently successful as an author that she was able to pursue writing full-time. Her books and short stories drew the favorable attention of the public and awards judges. She also taught writer's workshops, and eventually relocated to Washington state. Butler died of a stroke at the age of 58. Her papers are held in the research collection of the Huntington Library.";241
Frank Miller;Frank Miller is an American writer, artist and film director best known for his film noir-style comic book stories. He is one of the most widely-recognized and popular creators in comics, and is one of the most influential comics creators of his generation. His most notable works include Sin City, The Dark Knight Returns, Batman Year One and 300.Librarian Note: There is more than one author in the Goodreads database with this name. See this thread for more information.  ;242
Virginia Woolf;"(Adeline) Virginia Woolf was an English novelist and essayist regarded as one of the foremost modernist literary figures of the twentieth century.During the interwar period, Woolf was a significant figure in London literary society and a member of the Bloomsbury Group. Her most famous works include the novels Mrs. Dalloway (1925), To the Lighthouse (1927), and Orlando (1928), and the book-length essay A Room of One's Own (1929) with its famous dictum, ""a woman must have money and a room of her own if she is to write fiction.""";243
Robert Shea;Robert Joseph Shea was a novelist and journalist best known as co-author with Robert Anton Wilson of the science fantasy trilogy Illuminatus!. It became a cult success and was later turned into a marathon-length stage show put on at the British National Theatre and elsewhere. In 1986 it won the Prometheus Hall of Fame Award. Shea went on to write several action novels based in exotic historical settings.;245
O.E. Rølvaag;Ole Edvart Rølvaag was born in the family's cottage in a small fishing village on the island of Dønna, in the far southern district of Nordland county, Norway. Dønna, one of the largest islands on the northern coast of Norway, is situated about five miles from the Arctic Circle. He was born with the name Ole Edvart Pedersen, one of seven children of Peder Benjamin Jakobsen and Ellerine Pedersdatter Vaag. The settlement where he was born had no official name, but was referred to as Rølvaag, the name of a narrow bay on the northwestern point of the island where the fishermen kept their boats. At 14 years of age Rølvaag joined his father and brothers in the Lofoten fishing grounds. Rølvaag lived there until he was 20 years of age, and the impressions he received during the days of his childhood and his young manhood endured with him throughout his life.[2]An uncle who had emigrated to America sent him a ticket in the summer of 1896, and he traveled to Union County, South Dakota to work as a farmhand. He settled in Elk Point, South Dakota, working as a farmhand until 1898. With the help of his pastor, Rølvaag enrolled in Augustana Academy in Canton, South Dakota where he graduated in 1901. He earned a bachelor's degree from St. Olaf College in Northfield, Minnesota in 1905, and a master's degree from the same institution in 1910. He also had studied for some time at the University of Oslo.;246
J.G. Ballard;"James Graham ""J. G."" Ballard (15 November 1930 – 19 April 2009) was an English novelist, short story writer, and essayist. Ballard came to be associated with the New Wave of science fiction early in his career with apocalyptic (or post-apocalyptic) novels such as The Drowned World (1962), The Burning World (1964), and The Crystal World (1966). In the late 1960s and early 1970s Ballard focused on an eclectic variety of short stories (or ""condensed novels"") such as The Atrocity Exhibition (1970), which drew closer comparison with the work of postmodernist writers such as William S. Burroughs. In 1973 the highly controversial novel Crash was published, a story about symphorophilia and car crash fetishism; the protagonist becomes sexually aroused by staging and participating in real car crashes. The story was later adapted into a film of the same name by Canadian director David Cronenberg.While many of Ballard's stories are thematically and narratively unusual, he is perhaps best known for his relatively conventional war novel, Empire of the Sun (1984), a semi-autobiographical account of a young boy's experiences in Shanghai during the Second Sino-Japanese War as it came to be occupied by the Japanese Imperial Army. Described as ""The best British novel about the Second World War"" by The Guardian, the story was adapted into a 1987 film by Steven Spielberg.The literary distinctiveness of Ballard's work has given rise to the adjective ""Ballardian"", defined by the Collins English Dictionary as ""resembling or suggestive of the conditions described in J. G. Ballard's novels and stories, especially dystopian modernity, bleak man-made landscapes and the psychological effects of technological, social or environmental developments."" The Oxford Dictionary of National Biography entry describes Ballard's work as being occupied with ""eros, thanatos, mass media and emergent technologies"".";247
Sarah Waters;"Sarah Waters is a British novelist. She is best known for her first novel, Tipping the Velvet, as well the novels that followed, including Affinity, Fingersmith, and The Night Watch.Waters attended university, earning degrees in English literature. Before writing novels Waters worked as an academic, earning a doctorate and teaching. Waters went directly from her doctoral thesis to her first novel. It was during the process of writing her thesis that she thought she would write a novel; she began as soon as the thesis was complete.";248
Robert Graves;"Robert von Ranke Graves (1895-1985), born in Wimbledon, received his early education at King's College School and Copthorne Prep School, Wimbledon &amp; Charterhouse School and won a scholarship to St John's College, Oxford. While at Charterhouse in 1912, he fell in love with G.H. Johnstone, a boy of fourteen (""Dick"" in Goodbye to All That) When challenged by the headmaster he defended himself by citing Plato, Greek poets, Michelangelo &amp; Shakespeare, ""who had felt as I did"".At the outbreak of WWI, Graves enlisted almost immediately, taking a commission in the Royal Welch Fusiliers. He published his first volume of poems, Over the Brazier, in 1916. He developed an early reputation as a war poet and was one of the first to write realistic poems about his experience of front line conflict. In later years he omitted war poems from his collections, on the grounds that they were too obviously ""part of the war poetry boom"". At the Battle of the Somme he was so badly wounded by a shell-fragment through the lung that he was expected to die, and indeed was officially reported as 'died of wounds'. He gradually recovered. Apart from a brief spell back in France, he spent the rest of the war in England.One of Graves's closest friends at this time was the poet Siegfried Sassoon, who was also an officer in the RWF. In 1917 Sassoon tried to rebel against the war by making a public anti-war statement. Graves, who feared Sassoon could face a court martial, intervened with the military authorities and persuaded them that he was suffering from shell shock, and to treat him accordingly. Graves also suffered from shell shock, or neurasthenia as it is sometimes called, although he was never hospitalised for it.Biographers document the story well. It is fictionalised in Pat Barker's novel Regeneration. The intensity of their early relationship is nowhere demonstrated more clearly than in Graves's collection Fairies &amp; Fusiliers (1917), which contains a plethora of poems celebrating their friendship. Through Sassoon, he also became friends with Wilfred Owen, whose talent he recognised. Owen attended Graves's wedding to Nancy Nicholson in 1918, presenting him with, as Graves recalled, ""a set of 12 Apostle spoons"".Following his marriage and the end of the war, Graves belatedly took up his place at St John's College, Oxford. He later attempted to make a living by running a small shop, but the business failed. In 1926 he took up a post at Cairo University, accompanied by his wife, their children and the poet Laura Riding. He returned to London briefly, where he split with his wife under highly emotional circumstances before leaving to live with Riding in Deià, Majorca. There they continued to publish letterpress books under the rubric of the Seizin Press, founded and edited the literary journal Epilogue, and wrote two successful academic books together: A Survey of Modernist Poetry (1927) and A Pamphlet Against Anthologies (1928).In 1927, he published Lawrence and the Arabs, a commercially successful biography of T.E. Lawrence. Good-bye to All That (1929, revised and republished in 1957) proved a success but cost him many of his friends, notably Sassoon. In 1934 he published his most commercially successful work, I, Claudius. Using classical sources he constructed a complexly compelling tale of the life of the Roman emperor Claudius, a tale extended in Claudius the God (1935). Another historical novel by Graves, Count Belisarius (1938), recounts the career of the Byzantine general Belisarius.During the early 1970s Graves began to suffer from increasingly severe memory loss, and by his eightieth birthday in 1975 he had come to the end of his working life. By 1975 he had published more than 140 works. He survived for ten more years in an increasingly dependent condition until he died from heart failure.";250
Mark Bowden;Mark Robert Bowden (born July 17, 1951) is an American writer who is currently a contributing editor at Vanity Fair. Born in St. Louis, Missouri, and a 1973 graduate of Loyola College in Maryland, Bowden was a staff writer for The Philadelphia Inquirer from 1979-2003, and has won numerous awards. He has written for Men's Journal, The Atlantic Monthly, Sports Illustrated, and Rolling Stone over the years, and as a result of his book, Black Hawk Down: A Story of Modern War, Bowden's received international recognition. The book has been made into a 2001 movie, and was directed by Ridley Scott. He currently lives in Oxford, Pennsylvania.;251
Adolf Hitler;"Austrian-born Adolf Hitler, known as “der Führer,” from 1921 led the Nazi party of Germany, and his fascist philosophy, embodied in 
  Mein Kampf
 (1925–1927), attracted widespread support; he from 1933 served as chancellor of the Third Reich and after 1934 ruled as an absolute dictator, whose pursuit of aggressive nationalist policies resulted in the invasion of Poland in 1939 and in the subsequent outbreak of World War II and whose infamous regime exterminated millions of people, especially Jews, Slavs and communists of Europe. He then took his own life amid the imminent collapse in 1945. During the final days of the war in 1945, as Berlin was being invaded and destroyed by the Red Army, Hitler married Eva Braun. Less than 24 hours later, the two committed suicide in the Führerbunker.He dictated his best known literary work, the political manifesto, to a fellow inmate in prison in 1924. https://en.wikipedia.org/wiki/Adolf_H...";253
